A,A-PR2921
A00,A00-AF6
A00a,A-L1149
A00b,A-YP2683
A00c,A-A12220
A0,A-V148
A0-T,A-L1085
A00-T,A00-PR2921
A1,A-M31
A1a,A-Z11282
A1b,A-Y8284
A1b1,A-PF1260
A1c,A-V67
A2,A-M6
A2a,A-M114
A2b,A-P28
A3a,A-M28
A3b1,A-M51
A3b2,A-M13
A3b2a,A-M171
A3b2b,A-M118
B,B-M60
B1,B-M146
B2a,B-M150
B2a1,B-M109
B2a2,B-M108.1
B2a2a,B-M43
B2b,B-M112
B2b1,B-P6
B2b2,B-M115
B2b3,B-M30
B2b3a,B-M108.2
B2b4,B-P7
B2b4a,B-P8
B2b4b,B-M211
BT,BT-M91
C,C-M216
C1,C-M8
C2,C-M38
C2a,C-P33
C3,C-P44
C3a,C-M93
C3b,C-M208
C3c,C-M210
CF,CF-P143
CT,C-V9
D,D-CTS3946
D1,D-M15
D2a,D-P12
D2b,D-M116.1
D2b1,D-M125
D2b2,D-M151
DE,D-P144
E,E-P29
E1,E-M33
E1a,E-M44
E2a,E-M75
E2b,E-M54
E3,E-P2
E3a,E-M2
E3a1,E-M58
E3a2,E-M116.2
E3a3,E-M149
E3a4,E-M154
E3a5,E-M155
E3a6,E-M10
E3b,E-M35
E3b1,E-M78
E3b1a,E-M148
E3b2,E-M81
E3b2a,E-M107
E3b2b,E-M165
E3b3,E-M123
E3b3a,E-M34
E3ba1,E-M136
F,F-M89
F1,F-P91
F2,F-Y60086
F3,F-481
F4,F-Z40734
G,G-M201
G1,G-P20
G2,G-P15
G2a,G-P16
G2a1,G-P18
GHIJK,GHIJK-F1329
H,H-M52
H1,H-M82
H1a,H-M36
H1b,H-M97
H1c,H-M39
HIJK,H-M578
I,I-M170
I1,I-P38
I1a,I-P30
I1a1,I-P40
I1a2,I-M21
I1a3,I-M72
I1b,I-P37.2
I1b1,I-P41.2
I1b2,I-M26
I1b2a,I-M161
I2,I-M438
IJ,IJ-P125
IJK,IJK-L15
J,J-12f2a
J1,J-M62
J2,J-M172
J2a,J-M47
J2b,J-M68
J2c,J-M137
J2d,J-M158
J2e,J-M12
J2e1,J-M102
J2e1a,J-M99
J2f,J-M67
J2f1,J-M92
J2f2,J-M163
K,K-M9
K1,M-SRY9138
K2,K-M526
K2b,K-P331
K2b1,K-P397
K2c,K-P261
K2d,K-P402
K3,K-M147
L,L-M20
L1,L-M27
LT,LT-L298
M,M-M4
M1,M-P34
M2,M-P22
M2a,M-M16
M2b,M-M83
N,N-M231
N0,NO-Z5020
N1,N-M128
N2,N-P63
N3,N-TAT
N3a,N-M178
N3a1,N-P21
O,O-M175
O1,O-M119
O1a,O-M101
O1b,O-M50
O2,O-P31
O2a,O-M95
O2a1,O-M88
O2b,O-SRY465
O2b1,O-47z
O3,O-M122
O3a,O-M121
O3b,O-M164
O3c,O-M159
O3d,O-M7
O3d1,O-M113
O3e,O-M134
O3e1,O-M117
O3e1a,O-M162
P,P-M45
P1,R-M124
Q,Q-P36
Q1,Q-M120
Q2,Q-M25
Q3,Q-M3
Q3a,Q-M19
Q3b,Q-M194
Q3c,Q-M199
R,R-M207
R1,R-M173
R1a,R-SRY10831.2
R1a1,R-M17
R1a1a,R-M56
R1a1b,R-M157.1
R1a1c,R-M87
R1b,R-P25
R1b1,R-M18
R1b2,R-M37
R1b3,R-M65
R1b4,R-M73
R1b5,R-M126
R1b6,R-M153
R1b7,R-M160
R1b8,R-SRY2627
R2,R-M479
S,S-B254
T,T-M184
